Second Modifier;Category;Code;Remarks;
Unspecified;;0;;
Air Independent Propulsion;Ship Propulsion;1;;
Diesel Electric, General;Ship Propulsion;2;;
Diesel – Type 1;Ship Propulsion;3;;
Diesel – Type 2;Ship Propulsion;4;;
Diesel – Type 3;Ship Propulsion;5;;
Nuclear Powered, General;Ship Propulsion;6;;
Nuclear – Type 1;Ship Propulsion;7;;
Nuclear – Type 2;Ship Propulsion;8;;
Nuclear – Type 3;Ship Propulsion;9;;
Nuclear – Type 4;Ship Propulsion;10;;
Nuclear – Type 5;Ship Propulsion;11;;
Nuclear – Type 6;Ship Propulsion;12;;
Nuclear – Type 7;Ship Propulsion;13;;
Autonomous Control;UUV Control;14;;
Remotely Piloted;UUV Control;15;;
Expendable;UUV Control;16;;
Cyberspace;Capability;17;;
{Reserved for future use};;18-99;;
Version Extension Flag;;-;;
